,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,2005-08-14,,Premier League,Matchweek 1,Sun,Home,W,2,0,Newcastle Utd,,"38,072",,,Stephen Bennett,Match Report,,2005-2006
1,2005-08-21,,Premier League,Matchweek 2,Sun,Away,L,0,1,Chelsea,,"42,135",,,Graham Poll,Match Report,,2005-2006
2,2005-08-24,,Premier League,Matchweek 3,Wed,Home,W,4,1,Fulham,,"37,867",,,Mark Clattenburg,Match Report,,2005-2006
3,2005-09-10,,Premier League,Matchweek 5,Sat,Away,L,1,2,Middlesbrough,,"28,075",,,Mike Riley,Match Report,,2005-2006
4,2005-09-14,,Champions Lg,Group stage,Wed,Home,W,2,1,ch Thun,,,,,Grzegorz Gilewski,Match Report,,2005-2006
5,2005-09-19,,Premier League,Matchweek 6,Mon,Home,W,2,0,Everton,,"38,121",,,Alan Wiley,Match Report,,2005-2006
6,2005-09-24,,Premier League,Matchweek 7,Sat,Away,D,0,0,West Ham,,"34,281",,,Mike Dean,Match Report,,2005-2006
7,2005-09-27,,Champions Lg,Group stage,Tue,Away,W,2,1,nl Ajax,,,,,Medina Cantalejo,Match Report,,2005-2006
8,2005-10-02,,Premier League,Matchweek 8,Sun,Home,W,1,0,Birmingham City,,"37,898",,,Mike Riley,Match Report,,2005-2006
9,2005-10-15,,Premier League,Matchweek 9,Sat,Away,L,1,2,West Brom,,"26,443",,,Barry Knight,Match Report,,2005-2006
10,2005-10-18,,Champions Lg,Group stage,Tue,Away,W,2,0,cz Sparta Prague,,,,,Wolfgang Stark,Match Report,,2005-2006
11,2005-10-22,,Premier League,Matchweek 10,Sat,Home,W,1,0,Manchester City,,"38,189",,,Mike Riley,Match Report,,2005-2006
12,2005-10-29,,Premier League,Matchweek 11,Sat,Away,D,1,1,Tottenham,,"36,154",,,Stephen Bennett,Match Report,,2005-2006
13,2005-11-02,,Champions Lg,Group stage,Wed,Home,W,3,0,cz Sparta Prague,,,,,Alain Sars,Match Report,,2005-2006
14,2005-11-05,,Premier League,Matchweek 12,Sat,Home,W,3,1,Sunderland,,"38,210",,,Alan Wiley,Match Report,,2005-2006
15,2005-11-19,,Premier League,Matchweek 13,Sat,Away,W,3,2,Wigan Athletic,,"25,004",,,Graham Poll,Match Report,,2005-2006
16,2005-11-22,,Champions Lg,Group stage,Tue,Away,W,1,0,ch Thun,,,,,Lucílio Batista,Match Report,,2005-2006
17,2005-11-26,,Premier League,Matchweek 14,Sat,Home,W,3,0,Blackburn,,"38,192",,,Chris Foy,Match Report,,2005-2006
18,2005-12-03,,Premier League,Matchweek 15,Sat,Away,L,0,2,Bolton,,"26,792",,,Howard Webb,Match Report,,2005-2006
19,2005-12-07,,Champions Lg,Group stage,Wed,Home,D,0,0,nl Ajax,,,,,Iturralde González,Match Report,,2005-2006
20,2005-12-10,,Premier League,Matchweek 16,Sat,Away,L,0,1,Newcastle Utd,,"52,303",,,Dermot Gallagher,Match Report,,2005-2006
21,2005-12-18,,Premier League,Matchweek 17,Sun,Home,L,0,2,Chelsea,,"38,347",,,Rob Styles,Match Report,,2005-2006
22,2005-12-26,,Premier League,Matchweek 18,Mon,Away,W,1,0,Charlton Ath,,"26,944",,,Stephen Bennett,Match Report,,2005-2006
23,2005-12-28,,Premier League,Matchweek 19,Wed,Home,W,4,0,Portsmouth,,"38,223",,,Mark Clattenburg,Match Report,,2005-2006
24,2005-12-31,,Premier League,Matchweek 20,Sat,Away,D,0,0,Aston Villa,,"37,114",,,Uriah Rennie,Match Report,,2005-2006
25,2006-01-03,,Premier League,Matchweek 21,Tue,Home,D,0,0,Manchester Utd,,"38,313",,,Graham Poll,Match Report,,2005-2006
26,2006-01-14,,Premier League,Matchweek 22,Sat,Home,W,7,0,Middlesbrough,,"38,186",,,Rob Styles,Match Report,,2005-2006
27,2006-01-21,,Premier League,Matchweek 23,Sat,Away,L,0,1,Everton,,"36,920",,,Alan Wiley,Match Report,,2005-2006
28,2006-02-01,,Premier League,Matchweek 24,Wed,Home,L,2,3,West Ham,,"38,216",,,Mark Halsey,Match Report,,2005-2006
